年齢,1920_人口（総数）,1920_人口（男）,1920_人口（女）,1925_人口（総数）,1925_人口（男）,1925_人口（女）,1930_人口（総数）,1930_人口（男）,1930_人口（女）,1935_人口（総数）,1935_人口（男）,1935_人口（女）,1940_人口（総数）,1940_人口（男）,1940_人口（女）,1945_人口（総数）,1945_人口（男）,1945_人口（女）,1950_人口（総数）,1950_人口（男）,1950_人口（女）,1955_人口（総数）,1955_人口（男）,1955_人口（女）,1960_人口（総数）,1960_人口（男）,1960_人口（女）,1965_人口（総数）,1965_人口（男）,1965_人口（女）,1970_人口（総数）,1970_人口（男）,1970_人口（女）,1975_人口（総数）,1975_人口（男）,1975_人口（女）,1980_人口（総数）,1980_人口（男）,1980_人口（女）,1985_人口（総数）,1985_人口（男）,1985_人口（女）,1990_人口（総数）,1990_人口（男）,1990_人口（女）,1995_人口（総数）,1995_人口（男）,1995_人口（女）,2000_人口（総数）,2000_人口（男）,2000_人口（女）,2005_人口（総数）,2005_人口（男）,2005_人口（女）,2010_人口（総数）,2010_人口（男）,2010_人口（女）,2015_人口（総数）,2015_人口（男）,2015_人口（女）
0～4歳,7457715,3752627,3705088,8264583,4160479,4104104,9011135,4543442,4467693,9328501,4714001,4614500,9128009,4619512,4508497,9250418,4682797,4567621,11350580,5792551,5558029,9381512,4794426,4587086,7964828,4073749,3891079,8241607,4204772,4036835,8907564,4564915,4342649,10000607,5127359,4873248,8515416,4366100,4149316,7459263,3818777,3640486,6492897,3326039,3166858,5995254,3070015,2925239,5995254,3070015,2925239,5904098,3022521,2881577,5578087,2854502,2723585,5296748,2710581,2586167
5～9歳,6856920,3467156,3389764,6924432,3491171,3433261,7767085,3914786,3852299,8531419,4303263,4228156,8833598,4463439,4370159,8581401,4338961,4242440,9624478,4877311,4747167,11156015,5694447,5461568,9339141,4770578,4568563,7970120,4056194,3913926,8267336,4225903,4041433,8938021,4583653,4354368,10032034,5142487,4889547,8531834,4373058,4158776,7466557,3821833,3644724,6540671,3349827,3190844,6540671,3349827,3190844,6021789,3083431,2938358,5928495,3036503,2891992,5585661,2859805,2725856
10～14歳,6101567,3089225,3012342,6735030,3410991,3324039,6801045,3436560,3364485,7685247,3876774,3808473,8407101,4242585,4164516,8645267,4365844,4279423,8811354,4456939,4354415,9585370,4855556,4729814,11130190,5677909,5452281,9317503,4738325,4579178,7977879,4066571,3911308,8282064,4237041,4045023,8959628,4594813,4364815,10042121,5146970,4895151,8526785,4369880,4156905,7477805,3826968,3650837,7477805,3826968,3650837,6546612,3353150,3193462,6014652,3080678,2933974,5921035,3031943,2889092
15～19歳,5419057,2749022,2670035,5885277,2988370,2896907,6539604,3318663,3220941,6640917,3350713,3290204,7409277,3717483,3691794,7820530,3849481,3971049,8669445,4367794,4301651,8709075,4383128,4325947,9379673,4713854,4665819,10947996,5527355,5420641,9167044,4622873,4544171,7948546,4040280,3908266,8272245,4223685,4048560,8979947,4600427,4379520,10007087,5122215,4884872,8557958,4385775,4172183,8557958,4385775,4172183,7488165,3833984,3654181,6568380,3373430,3194950,6063357,3109229,2954128
20～24歳,4609310,2316479,2292831,5060527,2574799,2485728,5531506,2815406,2716100,6071071,3036783,3034288,6103653,3057395,3046258,5464684,2024120,3440564,7804536,3871815,3932721,8475954,4231701,4244253,8390982,4160096,4230886,9127519,4523969,4603550,10727636,5344885,5382751,9071509,4563526,4507983,7841026,3960116,3880910,8200554,4165995,4034559,8800121,4468199,4331922,9895001,5041228,4853773,9895001,5041228,4853773,8421460,4307242,4114218,7350598,3754822,3595776,6426433,3266240,3160193
25～29歳,3923949,2008005,1915944,4393471,2256502,2136969,4835634,2480757,2354877,5240083,2670248,2569835,5653184,2837267,2815917,4415159,1603664,2811495,6246288,2847983,3398305,7663079,3802724,3860355,8279524,4129166,4150358,8435227,4191561,4243666,9148198,4545780,4602418,10794583,5426289,5368294,9041355,4545468,4495887,7823402,3948330,3875072,8070713,4078469,3992244,8788141,4452125,4336016,8788141,4452125,4336016,9790309,4965277,4825032,8280049,4198551,4081498,7293701,3691723,3601978
30～34歳,3609450,1833443,1776007,3716087,1920177,1795910,4213665,2175040,2038625,4632637,2379492,2253145,4947256,2507243,2440013,4447337,1805587,2641750,5254401,2382599,2871802,6162622,2817154,3345468,7575693,3774040,3801653,8324917,4180969,4143948,8441333,4215776,4225557,9245791,4624591,4621200,10771731,5421545,5350186,9054224,4558265,4495959,7787685,3925353,3862332,8126455,4113849,4012606,8126455,4113849,4012606,8776610,4436818,4339792,9754857,4933265,4821592,8341497,4221011,4120486
35～39歳,3410738,1707771,1702967,3449377,1768538,1680839,3584833,1856905,1727928,4045846,2093446,1952400,4422887,2260747,2162140,4307705,1982773,2324932,5095018,2396611,2698407,5154689,2336529,2818160,6083135,2782870,3300265,7553997,3773472,3780525,8272842,4154678,4118164,8422320,4212566,4209754,9201581,4594716,4606865,10738044,5398230,5339814,9003780,4524829,4478951,7822221,3945809,3876412,7822221,3945809,3876412,8114865,4096286,4018579,8735781,4402787,4332994,9786349,4950122,4836227
40～44歳,3243764,1640254,1603510,3221765,1624224,1597541,3286478,1687934,1598544,3406011,1767627,1638384,3834058,1976906,1857152,4090208,2046909,2043299,4525471,2217547,2307924,4980506,2340429,2640077,5057947,2291120,2766827,6005021,2748642,3256379,7393628,3690875,3702753,8224070,4125063,4099007,8337500,4158990,4178510,9134954,4551877,4583077,10658290,5349985,5308305,9006072,4527352,4478720,9006072,4527352,4478720,7800219,3924171,3876048,8080596,4065470,4015126,8741865,4400375,4341490
45～49歳,2658567,1340404,1318163,3055149,1539488,1515661,3046263,1525157,1521106,3112834,1591179,1521655,3207212,1649661,1557551,3586926,1829696,1757230,4042374,2035222,2007152,4397993,2149102,2248891,4850813,2271959,2578854,4959332,2240740,2718592,5919697,2696819,3222878,7361410,3656501,3704909,8090387,4033146,4057241,8236614,4092121,4144493,9018012,4482298,4535714,10618366,5328335,5290031,10618366,5328335,5290031,8916008,4467772,4448236,7725861,3867500,3858361,8033116,4027969,4005147
